日期,销量
2017-11-07,1872
2017-11-08,1869
2017-11-09,1865
2017-11-10,1906
2017-11-11,1959
2017-11-12,1883
2017-11-13,1952
2017-11-14,1982
2017-11-15,1974
2017-11-16,1925
2017-11-17,1956
2017-11-18,1987
2017-11-19,1993
2017-11-20,1927
2017-11-21,1964
2017-11-22,1929
2017-11-23,1947
2017-11-24,1964
2017-11-25,1978
2017-11-26,2022
2017-11-27,1990
2017-11-28,2040
2017-11-29,2046
2017-11-30,2003
2017-12-01,2043
2017-12-02,2001
2017-12-03,2034
2017-12-04,2021
2017-12-05,2078
2017-12-06,2016
2017-12-07,2063
2017-12-08,2082
2017-12-09,2027
2017-12-10,2033
2017-12-11,2024
2017-12-12,2072
2017-12-13,2071
2017-12-14,2054
2017-12-15,2113
2017-12-16,2102
2017-12-17,2149
2017-12-18,2145
2017-12-19,2100
2017-12-20,2073
2017-12-21,2133
2017-12-22,2160
2017-12-23,2081
2017-12-24,2126
2017-12-25,2176
2017-12-26,2099
2017-12-27,2198
2017-12-28,2166
2017-12-29,2174
2017-12-30,2195
2017-12-31,2132
